0.005,-0.041,0.013,-0.004,0.013,-0.043,-0.028,1.449,-1.609,-0.105,0.036,1.157,-0.867,-0.013,-0.025,0.001,-0.024,0.015,-0.01,0.974,-0.014,0.023,-0.027,-0.022,-0.03,0.007,0.01,-0.84,0.011,0.109,0.073,-1.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.022,-0.054,0.006,-0.006,0.021,-0.035,-0.021,1.871,-2.069,-0.099,0.007,1.535,-1.2,-0.013,-0.033,0.002,-0.024,0.019,-0.022,1.317,-0.021,0.027,-0.021,-0.012,-0.024,0.004,-0.002,-1.141,0.008,0.099,0.094,-1.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.034,-0.065,-0.004,-0.006,0.026,-0.044,-0.022,1.939,-2.145,-0.109,-0.006,1.578,-1.254,0.016,-0.04,0.003,-0.023,-0.02,0.012,1.328,-0.055,0.026,-0.014,-0.009,-0.022,0.014,0.003,-1.191,0.005,0.1,0.107,-1.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.07,-0.083,-0.012,-0.001,0.018,-0.038,-0.024,1.858,-2.064,-0.1,-0.014,1.511,-1.201,0.024,-0.05,0.006,-0.02,-0.031,0.013,1.261,-0.08,0.025,-0.016,-0.011,-0.015,0.012,0.004,-1.144,0.003,0.092,0.106,-1.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.177,-0.084,-0.02,-0.004,0.015,-0.031,-0.022,1.616,-1.811,-0.084,-0.021,1.326,-1.053,0.024,-0.057,0.002,-0.02,-0.022,0.006,1.18,-0.081,0.025,-0.013,-0.006,-0.011,0.005,0,-0.999,0.007,0.084,0.102,-1.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.358,-0.069,-0.02,-0.012,0.013,-0.027,-0.016,1.146,-1.306,-0.07,-0.022,0.954,-0.758,0.047,-0.056,-0.001,-0.019,-0.028,0.015,1.016,-0.097,0.024,-0.011,0,-0.008,0.008,-0.005,-0.7,0.014,0.076,0.097,-0.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.606,-0.046,-0.004,-0.032,0.005,0,-0.031,0.695,-0.823,-0.037,-0.026,0.611,-0.477,0.049,-0.048,-0.007,-0.017,0.015,-0.033,0.954,-0.087,0.016,-0.032,0,-0.006,-0.018,-0.007,-0.413,0.031,0.06,0.084,-0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.78,0.031,-0.027,-0.019,0.011,-0.007,-0.001,0.094,-0.203,0.01,-0.03,0.176,-0.19,0.131,-0.048,-0.004,-0.015,0.013,-0.03,0.798,-0.101,0.014,-0.009,0.007,-0.003,-0.007,-0.017,-0.056,0.069,0.052,0.08,-0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.76,0.147,-0.03,-0.021,0.005,0,-0.001,-0.573,0.5,0.05,-0.019,-0.365,0.162,0.247,-0.036,-0.012,-0.015,0.021,-0.039,0.384,-0.121,0.004,-0.007,0.01,0.003,-0.011,-0.013,0.386,0.1,0.045,0.064,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.497,0.323,-0.024,-0.026,0.001,0.016,-0.001,-1.082,1.062,0.066,-0.014,-0.758,0.287,0.439,-0.025,-0.018,-0.012,0.044,-0.066,-0.052,-0.154,-0.005,-0.011,0.009,0.004,-0.021,-0.011,0.698,0.1,0.035,0.048,0.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
