id,sample,session,elec_pattern,extra_path,delay
25,20180426-1,10,3,20190628/e004_1058VT,136
68,20180614-1,9,10,20180614_rabbit6/ExTRa/e005_1455VT,0
88,20180731-1,13,15,20180731/ExTRa/e010_1237VT,0
95,20180731-1,20,20,20190628/e017_1314VT,136
105,20180731-1,30,22,20190628/e027_1332VT,136
148,20181122-1,20,35,20190628/e018_11221237,136
160,20190123-1,4,39,20190320/e004_01231521,136
168,20190123-1,12,41,20190320/,136
178,20190123-1,22,44,20190320/,136
